Timestamp (JD), File Timestamp (JD), BX Peg : Intensity [ADU], BX Peg : Error, BX Peg : Signal-to-Noise Ratio, BX Peg : FWHM (Centroid), BX Peg : Instrument Magnitude (Centroid), BX Peg : Magnitude (Centroid), Ref1 : Intensity [ADU], Ref127 : Error, Ref127 : Signal-to-Noise Ratio, Ref127 : FWHM (Centroid), Ref1 : Instrument Magnitude (Centroid), Ref127 : Magnitude (Centroid), Chk1 : Intensity [ADU], Chk1 : Error, Chk1 : Signal-to-Noise Ratio, Chk1 : FWHM (Centroid), Chk1 : Instrument Magnitude (Centroid), Chk1 : Magnitude (Centroid), Chk2 : Intensity [ADU], Chk2 : Error, Chk2 : Signal-to-Noise Ratio, Chk2 : FWHM (Centroid), Chk2 : Instrument Magnitude (Centroid), Chk2 : Magnitude (Centroid)
2458413.593,2458413.592,608869.25,0.001,782.043,3.01,10.539,11,127266.234,0.007,164.914,2.997,12.238,12.7,90112.336,0.009,115.311,3.033,12.613,13.075,184406.156,0.004,243.031,3.044,11.836,12.297
2458413.593,2458413.593,615623.875,0.001,800.734,2.968,10.527,10.99,127488.719,0.006,166.61,2.964,12.236,12.7,89389.82,0.01,112.046,2.925,12.622,13.085,185644.219,0.004,245.417,2.967,11.828,12.292
2458413.594,2458413.593,618783.625,0.001,813.036,3.403,10.521,10.979,126817.344,0.007,164.583,3.373,12.242,12.7,91171.719,0.009,122.931,3.409,12.6,13.058,189372.813,0.004,257.222,3.342,11.807,12.265
2458413.594,2458413.594,625356.938,0.001,786.016,3.309,10.51,10.975,127657.32,0.007,163.035,3.323,12.235,12.7,91056.852,0.009,121.451,3.314,12.602,13.067,188972.266,0.004,257.947,3.339,11.809,12.274
2458413.595,2458413.594,626458.938,0.001,765.281,3.177,10.508,10.975,127863.844,0.006,167.257,3.122,12.233,12.7,91865.844,0.009,121.976,3.117,12.592,13.059,187727.828,0.004,249.427,3.108,11.816,12.283
2458413.595,2458413.595,625208.625,0.001,826.213,2.952,10.51,10.982,128443.477,0.006,170.295,2.986,12.228,12.7,90714.188,0.009,114.976,2.962,12.606,13.078,189283.188,0.004,248.015,2.968,11.807,12.279
2458413.596,2458413.595,632636,0.001,832.711,3.033,10.497,10.967,128228.031,0.007,161.989,3.043,12.23,12.7,91081.117,0.009,116.423,3.031,12.601,13.071,188995.375,0.004,253.807,3.034,11.809,12.279
2458413.596,2458413.596,635311.313,0.001,809.922,3.149,10.493,10.965,128494.406,0.006,174.091,3.149,12.228,12.7,92071.922,0.009,119.48,3.105,12.59,13.062,188322.625,0.005,236.155,3.16,11.813,12.285
2458413.597,2458413.597,636720.125,0.001,799.462,2.996,10.49,10.974,129852.742,0.007,166.334,2.996,12.216,12.7,93494.156,0.009,124.051,2.972,12.573,13.057,189712.234,0.004,252.308,2.954,11.805,12.288
2458413.597,2458413.597,638549.875,0.001,805.821,2.981,10.487,10.958,128311.578,0.006,168.071,2.976,12.229,12.7,91964.898,0.009,118.508,2.878,12.591,13.062,192193.219,0.004,261.669,3.031,11.791,12.261
2458413.598,2458413.598,639359.125,0.001,852.234,3.017,10.486,10.977,130804.078,0.006,171.198,3.012,12.208,12.7,91885.797,0.009,123.086,2.983,12.592,13.083,190709.484,0.005,237.639,3.028,11.799,12.291
