Timestamp (JD), File Timestamp (JD), Obj1 : Signal-to-Noise Ratio, Obj1 : Instrument Magnitude (Centroid), Obj1 : Magnitude (Centroid), Ref1 : Signal-to-Noise Ratio, Ref1 : Instrument Magnitude (Centroid), Ref1 : Magnitude (Centroid), Chk1 : Signal-to-Noise Ratio, Chk1 : Instrument Magnitude (Centroid), Chk1 : Magnitude (Centroid), Chk2 : Signal-to-Noise Ratio, Chk2 : Instrument Magnitude (Centroid), Chk2 : Magnitude (Centroid), Chk3 : Signal-to-Noise Ratio, Chk3 : Instrument Magnitude (Centroid), Chk3 : Magnitude (Centroid)
2459271.54,2459271.54,142.195,17.09,12.487,612.294,15.504,10.9,100.793,17.462,12.859,919.215,15.062,10.458,124.505,17.25,12.646
2459271.541,2459271.541,138.271,17.112,12.501,607.792,15.511,10.9,95.093,17.509,12.897,898.589,15.059,10.448,115.178,17.293,12.682
2459271.541,2459271.541,136.971,17.129,12.519,601.153,15.511,10.9,99.908,17.483,12.872,897.386,15.064,10.453,121.045,17.279,12.668
2459271.542,2459271.542,137.59,17.135,12.522,602.105,15.514,10.9,98.37,17.479,12.866,918.879,15.065,10.452,117.463,17.277,12.664
2459271.543,2459271.542,132.78,17.152,12.537,608.425,15.515,10.9,97.35,17.512,12.897,911.126,15.064,10.449,113.217,17.331,12.716
2459271.543,2459271.543,132.687,17.159,12.539,600.053,15.519,10.9,98.373,17.482,12.863,891.665,15.064,10.445,116.622,17.297,12.677
2459271.544,2459271.543,136.116,17.148,12.515,598.647,15.532,10.9,98.991,17.472,12.839,906.287,15.08,10.448,120.582,17.28,12.648
2459271.544,2459271.544,135.815,17.147,12.518,588.252,15.529,10.9,100.643,17.483,12.854,910.827,15.071,10.442,117.504,17.29,12.661
2459271.544,2459271.544,135.339,17.146,12.522,599.514,15.523,10.9,99.252,17.475,12.851,901.686,15.07,10.447,116.909,17.293,12.67
2459271.545,2459271.545,138.004,17.14,12.515,616.365,15.525,10.9,100.684,17.468,12.843,895.32,15.071,10.446,117.908,17.286,12.661
2459271.545,2459271.545,132.617,17.168,12.545,605.538,15.523,10.9,97.073,17.483,12.86,924.972,15.078,10.455,118.103,17.299,12.676
2459271.546,2459271.546,133.76,17.15,12.528,607.157,15.521,10.9,102.703,17.46,12.839,917.549,15.071,10.45,113.404,17.333,12.712
2459271.546,2459271.546,131.354,17.181,12.542,575.793,15.54,10.9,97.489,17.499,12.859,892.042,15.083,10.443,117.24,17.272,12.632
2459271.547,2459271.547,139.841,17.1,12.477,590.794,15.523,10.9,99.507,17.498,12.876,917.855,15.072,10.449,117.03,17.289,12.666
2459271.548,2459271.547,133.955,17.164,12.557,615.275,15.507,10.9,100.26,17.484,12.877,913.003,15.064,10.457,120.082,17.274,12.667
2459271.548,2459271.548,137.826,17.135,12.525,599.899,15.51,10.9,100.416,17.472,12.862,912.593,15.065,10.455,121.835,17.264,12.654
2459271.549,2459271.549,130.08,17.177,12.575,600.73,15.503,10.9,100.913,17.457,12.854,902.084,15.07,10.467,119.876,17.275,12.672
2459271.549,2459271.549,129.996,17.172,12.549,613.184,15.523,10.9,93.102,17.536,12.913,921.462,15.074,10.451,117.721,17.294,12.671
2459271.55,2459271.55,136.106,17.16,12.545,596.475,15.514,10.9,100.142,17.451,12.837,922.226,15.067,10.453,117.981,17.281,12.667
2459271.55,2459271.55,134.825,17.153,12.529,590.053,15.524,10.9,100.62,17.485,12.86,909.075,15.066,10.442,117.124,17.285,12.661
2459271.551,2459271.55,133.098,17.161,12.538,598.961,15.523,10.9,96.979,17.499,12.875,918.152,15.071,10.448,119.102,17.28,12.656
2459271.551,2459271.551,131.249,17.169,12.547,589.496,15.523,10.9,101.849,17.464,12.841,928.305,15.064,10.441,118.966,17.253,12.63
2459271.552,2459271.551,132.678,17.182,12.569,610.358,15.514,10.9,99.619,17.464,12.851,912.352,15.07,10.457,114.076,17.314,12.7
2459271.552,2459271.552,136.791,17.155,12.536,601.008,15.519,10.9,102.267,17.451,12.831,909.547,15.061,10.442,119.861,17.283,12.664
2459271.553,2459271.553,132.641,17.161,12.547,602.056,15.514,10.9,98.058,17.499,12.885,897.988,15.064,10.45,121.048,17.266,12.652
2459271.554,2459271.554,133.067,17.173,12.537,595.431,15.536,10.9,100.325,17.485,12.848,893.004,15.082,10.446,116.93,17.298,12.662
2459271.555,2459271.554,132.934,17.19,12.567,595.34,15.523,10.9,99.518,17.487,12.864,901.349,15.074,10.451,116.377,17.291,12.668
2459271.556,2459271.556,130.497,17.174,12.541,592.799,15.533,10.9,95.926,17.503,12.87,888.916,15.082,10.45,112.744,17.331,12.698
2459271.557,2459271.557,134.323,17.181,12.564,612.246,15.517,10.9,98.175,17.511,12.894,914.034,15.069,10.452,114.967,17.323,12.706
2459271.558,2459271.558,129.877,17.21,12.579,599.505,15.531,10.9,97.853,17.485,12.854,904.11,15.079,10.448,113.794,17.304,12.673
2459271.558,2459271.558,132.355,17.193,12.58,618.874,15.513,10.9,102.969,17.458,12.846,910.915,15.078,10.466,115.919,17.321,12.708
2459271.559,2459271.558,127.01,17.213,12.566,585.012,15.547,10.9,101.693,17.471,12.825,897.474,15.084,10.438,117.164,17.305,12.658
2459271.559,2459271.559,126.13,17.211,12.576,597.064,15.535,10.9,97.67,17.499,12.863,898.661,15.075,10.44,115.415,17.305,12.669
2459271.559,2459271.559,127.087,17.218,12.574,604.304,15.544,10.9,99.014,17.483,12.839,889.276,15.078,10.434,115.264,17.317,12.673
2459271.56,2459271.56,126.559,17.213,12.586,612.124,15.527,10.9,94.795,17.537,12.91,918.534,15.076,10.449,117.673,17.295,12.668
2459271.56,2459271.56,126.616,17.231,12.589,586.752,15.543,10.9,97.083,17.517,12.874,887.708,15.091,10.448,116.615,17.308,12.666
